Block Size,Point Fraction,Weight,Step,PSNR_Y,Adaptative bitstream,Adaptative bpv,nPSNR_Y,Structural bitstream,Structural bpv,dPSNR_Y,Dynamic bitstream,Dynamic bpv
4,1,1.2,1,58.92590690991027,15815728,20.651990478192683,58.92575993152404,12048448,15.732720831630369,58.93483650740339,11782818,15.385864320774697
4,1,1.2,2,52.925854767787754,11974872,15.636646161439815,53.01475531841127,9040264,11.804669759643572,52.99977676336525,8862274,11.57225252376208
4,1,1.2,4,47.01828799342348,8590936,11.217942574047983,47.21393463656372,6299760,8.226152064255224,47.19250317277794,6201058,8.097268160575382
4,1,1.2,8,41.365607019133826,5866184,7.659993653869507,41.693775697325734,4151904,5.421507114586829,41.64005795346074,4105570,5.361004725647377
4,1,1.2,12,38.319624924463916,4560608,5.955187961677729,38.68274706972827,3201904,4.181008355738482,38.641635509934304,3163298,4.13059709775522
4,1,1.2,16,36.3243504646353,3750488,4.897342851658546,36.688456163496205,2656496,3.4688210430374724,36.68345245594065,2621242,3.422786786990694
4,1,1.2,20,34.8660061074631,3184608,4.158423443598439,35.2156492408222,2291904,2.992741123578486,35.257777598046076,2260626,2.95189868128453
4,1,1.2,24,33.73088091463814,2776408,3.625400713743812,34.05928221699787,2039544,2.663212421701677,34.15432727464252,2012858,2.628366158671543
4,1,1.2,32,32.05960636165351,2209696,2.8853948899285866,32.339695183511694,1695704,2.2142302182886078,32.52276407206725,1680498,2.1943744034180312
4,1,1.2,64,28.49593067660594,1246416,1.6275552642197066,28.57998641332193,1124632,1.4685311580643519,28.975350800526826,1140298,1.4889876354918448
4,2,1.2,1,58.918774587920815,16198272,21.151511906829402,58.92575993152404,12048448,15.732720831630369,58.92846325605159,11721242,15.30545910859065
4,2,1.2,2,52.91826969045462,12831680,16.75545590940964,53.01475531841127,9040264,11.804669759643572,53.010467067710266,8811146,11.505490186349029
4,2,1.2,4,46.97192367619111,9351848,12.211532459935155,47.21393463656372,6299760,8.226152064255224,47.19723049765683,6158874,8.042184792529847
4,2,1.2,8,41.253911166456575,6398192,8.354683405129919,41.693775697325734,4151904,5.421507114586829,41.65009859061256,4066498,5.309984970378196
4,2,1.2,12,38.172126013119374,4957456,6.473387384258201,38.68274706972827,3201904,4.181008355738482,38.65258188616971,3128482,4.0851347769256785
4,2,1.2,16,36.188352430327434,4051520,5.290426875209742,36.688456163496205,2656496,3.4688210430374724,36.706892514945295,2588538,3.3800822907702974
4,2,1.2,20,34.761928966982815,3418528,4.463873411671918,35.2156492408222,2291904,2.992741123578486,35.297466944954586,2229074,2.9106984530327584
4,2,1.2,24,33.65814520140547,2969032,3.8769268536642376,34.05928221699787,2039544,2.663212421701677,34.21103365921353,1982138,2.5882523461748894
4,2,1.2,32,32.02270811717967,2367056,3.0908737159205613,32.339695183511694,1695704,2.2142302182886078,32.61266234804368,1651898,2.15702886183586
4,2,1.2,64,28.52969556490472,1338208,1.7474161716641357,28.57998641332193,1124632,1.4685311580643519,29.163684969388246,1124538,1.4684084139766342
4,4,1.2,1,58.929663283866695,16125880,21.056983289828825,58.92575993152404,12048448,15.732720831630369,58.937090059070485,11666162,15.23353629634079
4,4,1.2,2,52.90817756058039,13343208,17.423403119005616,53.01475531841127,9040264,11.804669759643572,53.01222055559502,8755442,11.43275256228283
4,4,1.2,4,46.92337676991637,10118752,13.21294662852024,47.21393463656372,6299760,8.226152064255224,47.20421593153685,6113762,7.983278076730724
4,4,1.2,8,41.1330279893443,7011200,9.155141997934242,41.693775697325734,4151904,5.421507114586829,41.658841011224354,4027042,5.2584637924528055
4,4,1.2,12,38.027014228828804,5457576,7.12643816244266,38.68274706972827,3201904,4.181008355738482,38.6809441950393,3092410,4.0380323861581235
4,4,1.2,16,36.03935329088269,4469464,5.836173204965651,36.688456163496205,2656496,3.4688210430374724,36.7514475594279,2555162,3.336500304901537
4,4,1.2,20,34.62565017293773,3772048,4.9254956445435685,35.2156492408222,2291904,2.992741123578486,35.35986823833635,2197754,2.8698011676357793
4,4,1.2,24,33.54408975093352,3273544,4.27455502003732,34.05928221699787,2039544,2.663212421701677,34.292463430248354,1953834,2.5512933178902117
4,4,1.2,32,31.935517647475233,2603288,3.399342666236627,32.339695183511694,1695704,2.2142302182886078,32.71759284707694,1625786,2.122932121213704
4,4,1.2,64,28.4548393605362,1469128,1.91836995851511,28.57998641332193,1124632,1.4685311580643519,29.34045695925449,1108106,1.4469517028130594
4,8,1.2,1,58.92100233294863,15848672,20.695008363573212,58.92575993152404,12048448,15.732720831630369,58.92932183955214,11659850,15.225294161429368
4,8,1.2,2,52.91097508138803,13451936,17.565378854849893,53.01475531841127,9040264,11.804669759643572,53.01275089331189,8738178,11.41020943536414
4,8,1.2,4,46.905601223177705,10566816,13.79802329787248,47.21393463656372,6299760,8.226152064255224,47.21090883754731,6095386,7.959282913370096
4,8,1.2,8,41.06432353093992,7409664,9.675451574192925,41.693775697325734,4151904,5.421507114586829,41.683891820159474,4008978,5.234876035000346
4,8,1.2,12,37.937775212002755,5787272,7.556951298018728,38.68274706972827,3201904,4.181008355738482,38.71585954099138,3077338,4.018351546901952
4,8,1.2,16,35.95193603206469,4757312,6.212041717320366,36.688456163496205,2656496,3.4688210430374724,36.801038908428744,2543890,3.3217814606807594
4,8,1.2,20,34.543277415853204,4027048,5.258471627181809,35.2156492408222,2291904,2.992741123578486,35.42065212177012,2188602,2.8578505943294843
4,8,1.2,24,33.45802711102275,3503584,4.574938530022028,34.05928221699787,2039544,2.663212421701677,34.35210403776021,1944850,2.539562116996008
4,8,1.2,32,31.849570481987403,2786224,3.6382183303931335,32.339695183511694,1695704,2.2142302182886078,32.77721201916849,1618362,2.1132379498603457
4,8,1.2,64,28.371086829571013,1571592,2.052166237279991,28.57998641332193,1124632,1.4685311580643519,29.422821511721168,1100610,1.4371635147116624
4,16,1.2,1,58.925115927250935,15921800,20.790498040664854,58.92575993152404,12048448,15.732720831630369,58.93417316464393,11658458,15.223476504300613
4,16,1.2,2,52.91101102691773,13543880,17.68543824209574,53.01475531841127,9040264,11.804669759643572,53.013152833207414,8738122,11.410136311226776
4,16,1.2,4,46.90237924523497,10646464,13.902026713814324,47.21393463656372,6299760,8.226152064255224,47.210477750131204,6092234,7.955167069067054
4,16,1.2,8,41.07533083623123,7465336,9.748147413037772,41.693775697325734,4151904,5.421507114586829,41.70029871347975,4007514,5.232964361123552
4,16,1.2,12,37.942228970723086,5832392,7.615868460123188,38.68274706972827,3201904,4.181008355738482,38.732549059616424,3077098,4.018038157741822
4,16,1.2,16,35.949641407355855,4796208,6.262831653872119,36.688456163496205,2656496,3.4688210430374724,36.814633308288826,2543050,3.3206845986203044
4,16,1.2,20,34.537519577047746,4058792,5.299922566761684,35.2156492408222,2291904,2.992741123578486,35.430277986062926,2187250,2.856085168727418
4,16,1.2,24,33.45923142788862,3530976,4.610706679498212,34.05928221699787,2039544,2.663212421701677,34.36686551738708,1943938,2.538371238187514
4,16,1.2,32,31.852149884765424,2810920,3.670466074970522,32.339695183511694,1695704,2.2142302182886078,32.79326558925395,1617842,2.1125589400133973
4,16,1.2,64,28.3650731702396,1590968,2.0774671888078284,28.57998641332193,1124632,1.4685311580643519,29.432441374879556,1099010,1.4350742536441283
8,1,1.2,1,58.929380091408554,15212312,19.864057005488228,58.944820770916536,12480184,16.29647659178842,58.938913998079165,12184199,15.909982881117127
8,1,1.2,2,52.97764957866632,10699592,13.971400627561794,53.023039759968924,8942264,11.67670251925711,53.01112338486969,8734951,11.405995656948555
8,1,1.2,4,47.150776203701625,6984584,9.120387140075813,47.24168832699726,5903976,7.7093420002846615,47.20979232172962,5798159,7.57116741379513
8,1,1.2,8,41.65045142663318,4361560,5.695273438571155,41.75561307847129,3685072,4.811923412912416,41.72701408605144,3633511,4.7445956692229645
8,1,1.2,12,38.711231812748565,3235280,4.224590341607242,38.80554389052022,2736088,3.572751334841954,38.78660625701174,2701247,3.5272563693082324
8,1,1.2,16,36.78914887176707,2575360,3.3628746143028203,36.87388553971654,2182320,2.849647633063079,36.86581883983404,2154999,2.8139721945467673
8,1,1.2,20,35.378616339312444,2137624,2.7912841251415146,35.45726394888405,1809328,2.362599092999539,35.44922090717415,1787423,2.3339958031968306
8,1,1.2,24,34.29092100720689,1830432,2.3901564464803133,34.35894668148278,1549192,2.0229165823345143,34.36495952506968,1529815,1.9976143250185094
8,1,1.2,32,32.6826031128313,1425504,1.8614062555087938,32.73597532321636,1208736,1.5783531660792796,32.76311298750005,1193087,1.5579188870506293
8,1,1.2,64,29.22911744065064,745000,0.9728121845705459,29.232628472904768,647088,0.8449598535427991,29.333211331423637,640375,0.8361940975763266
8,2,1.2,1,58.92921547747862,15992656,20.8830209670406,58.944820770916536,12480184,16.29647659178842,58.944768310753176,12134831,15.845518730878364
8,2,1.2,2,52.956403401752176,11541992,15.071396579618474,53.023039759968924,8942264,11.67670251925711,53.007609874262045,8683655,11.339013947123414
8,2,1.2,4,47.094120942739366,7519224,9.81851372579232,47.24168832699726,5903976,7.7093420002846615,47.20078695175991,5754591,7.514276834926178
8,2,1.2,8,41.591554864902676,4663064,6.088973794137273,41.75561307847129,3685072,4.811923412912416,41.72169732073452,3610319,4.714311830049058
8,2,1.2,12,38.66134433066742,3427760,4.475928448031589,38.80554389052022,2736088,3.572751334841954,38.78560990453734,2679695,3.499114022728549
8,2,1.2,16,36.7471456950456,2714744,3.5448805922010496,36.87388553971654,2182320,2.849647633063079,36.86598155102746,2136175,2.7893920380872292
8,2,1.2,20,35.356464890539954,2244008,2.9301990935218543,35.45726394888405,1809328,2.362599092999539,35.46569988036366,1771551,2.313270333406893
8,2,1.2,24,34.27948580746864,1917672,2.504073406187608,34.35894668148278,1549192,2.0229165823345143,34.38388895255646,1515175,1.978497586250573
8,2,1.2,32,32.6852242158222,1487824,1.9427829740892455,32.73597532321636,1208736,1.5783531660792796,32.78844053678334,1179415,1.5400661512285507
8,2,1.2,64,29.270388334454694,783712,1.0233618560995323,29.232628472904768,647088,0.8449598535427991,29.39893100140505,630959,0.8238987961938886
8,4,1.2,1,58.936891482398046,16540976,21.599010734884523,58.944820770916536,12480184,16.29647659178842,58.95030627484104,12034951,15.71509660873755
8,4,1.2,2,52.92805927018424,12534696,16.367657716359307,53.023039759968924,8942264,11.67670251925711,53.002244407607805,8599463,11.229077029749773
8,4,1.2,4,47.03078504057969,8259656,10.785361070015055,47.24168832699726,5903976,7.7093420002846615,47.20725282953383,5698175,7.440609489684927
8,4,1.2,8,41.49404496368345,5091288,6.648143626252088,41.75561307847129,3685072,4.811923412912416,41.71010229736184,3573415,4.666123023526385
8,4,1.2,12,38.57427798337971,3722032,4.860185343572454,38.80554389052022,2736088,3.572751334841954,38.78454444505917,2651471,3.462259457497248
8,4,1.2,16,36.68750592243213,2934832,3.832268898345697,36.87388553971654,2182320,2.849647633063079,36.88379975880969,2109823,2.754981908304943
8,4,1.2,20,35.32068965767783,2419376,3.159192552828925,35.45726394888405,1809328,2.362599092999539,35.49503742732883,1746599,2.280688307058699
8,4,1.2,24,34.26099142920902,2062688,2.693433583043557,34.35894668148278,1549192,2.0229165823345143,34.422567973254544,1492111,1.9483808879620694
8,4,1.2,32,32.70478213892497,1597560,2.086074944406069,32.73597532321636,1208736,1.5783531660792796,32.85669772947099,1160343,1.515162159303545
8,4,1.2,64,29.335238697473073,839320,1.0959741245016785,29.232628472904768,647088,0.8449598535427991,29.502051978152636,618615,0.8077801470578634
8,8,1.2,1,58.91738520841909,16737016,21.854997447184132,58.944820770916536,12480184,16.29647659178842,58.943835151054564,11994071,15.661715988462056
8,8,1.2,2,52.90142739818403,13455120,17.569536484374286,53.023039759968924,8942264,11.67670251925711,53.00195242768492,8523847,11.130338551698113
8,8,1.2,4,46.962502285349416,9111200,11.897297149072694,47.24168832699726,5903976,7.7093420002846615,47.21307940930269,5632023,7.354228990847731
8,8,1.2,8,41.38425972582412,5631352,7.353352806987534,41.75561307847129,3685072,4.811923412912416,41.71485848801691,3533239,4.6136616781206055
8,8,1.2,12,38.475591984409704,4114616,5.372816885407948,38.80554389052022,2736088,3.572751334841954,38.80826994503188,2614703,3.414248238165315
8,8,1.2,16,36.6111097760345,3236104,4.225666311057022,36.87388553971654,2182320,2.849647633063079,36.9228986575503,2076999,2.712120717504482
8,8,1.2,20,35.27638775271241,2663992,3.4786092311388694,35.45726394888405,1809328,2.362599092999539,35.55523286012065,1717415,2.242580185186878
8,8,1.2,24,34.241101800174995,2268304,2.961924522832359,34.35894668148278,1549192,2.0229165823345143,34.48899047182511,1466175,1.9145139660573425
8,8,1.2,32,32.716740527335425,1753232,2.289349599971795,32.73597532321636,1208736,1.5783531660792796,32.94588583546492,1135911,1.4832591428022996
8,8,1.2,64,29.431281464428167,922576,1.2046888241508134,29.232628472904768,647088,0.8449598535427991,29.657087237170707,602799,0.7871278014052893
8,16,1.2,1,58.92696732183293,16867192,22.024979727638705,58.944820770916536,12480184,16.29647659178842,58.94343800017928,12000487,15.670093925342867
8,16,1.2,2,52.898717749000085,14361408,18.752956630857604,53.023039759968924,8942264,11.67670251925711,53.01478082959203,8517271,11.121751688710548
8,16,1.2,4,46.91963589426388,10189392,13.30518750465187,47.24168832699726,5903976,7.7093420002846615,47.21952830835312,5617559,7.335342070797223
8,16,1.2,8,41.24246556989814,6286024,8.208215757990445,41.75561307847129,3685072,4.811923412912416,41.71212164140457,3512599,4.586710210349416
8,16,1.2,12,38.34620051460578,4586480,5.988971313139754,38.80554389052022,2736088,3.572751334841954,38.82048813082618,2592263,3.3849463516931504
8,16,1.2,16,36.50656139413182,3604336,4.706499299444649,36.87388553971654,2182320,2.849647633063079,36.94682351129074,2056575,2.68545129997741
8,16,1.2,20,35.19862501847504,2964680,3.8712440635605447,35.45726394888405,1809328,2.362599092999539,35.59546035540775,1696143,2.2148034592940125
8,16,1.2,24,34.19869388206863,2521752,3.2928739222350916,34.35894668148278,1549192,2.0229165823345143,34.56059611682303,1444007,1.885567253966658
8,16,1.2,32,32.707954972896026,1949232,2.5452840807447172,32.73597532321636,1208736,1.5783531660792796,33.035958783751035,1117119,1.4587207715641122
8,16,1.2,64,29.511151326482576,1030512,1.3456303757666608,29.232628472904768,647088,0.8449598535427991,29.815346809379925,589879,0.7702570182849517
16,1,1.2,1,58.93507258670474,12063568,15.752464348718565,58.938995602656775,10909088,14.244958025439365,58.941168352069305,10790432,14.090018424671038
16,1,1.2,2,52.986401828179595,8907456,11.631250644732907,52.9983108644031,8137872,10.626336963859702,52.9927637005417,8023856,10.477456220187223
16,1,1.2,4,47.18786235470083,5868824,7.6634409346309385,47.21129962336464,5433120,7.094503807025402,47.204711409453886,5348736,6.984316178323655
16,1,1.2,8,41.671411908239115,3578728,4.673060676058766,41.69721583354631,3349216,4.373366622226342,41.68678309417178,3307296,4.318627982256951
16,1,1.2,12,38.763699294226626,2641840,3.44968341165886,38.77869736150102,2479048,3.2371115443426075,38.77688309429517,2452664,3.202659629338971
16,1,1.2,16,36.87174808356157,2112160,2.7580335352517102,36.88871641890189,1975648,2.5797777809697044,36.8859660193172,1955528,2.5535053230454636
16,1,1.2,20,35.49950244919537,1771664,2.3134178874697873,35.51544326034938,1648472,2.1525552315750027,35.51440603098287,1632440,2.1316208356783113
16,1,1.2,24,34.4433730307371,1516608,1.9803687806941832,34.453346863384425,1408768,1.8395525847423875,34.45879292218447,1396032,1.8229220666448165
16,1,1.2,32,32.87076062267891,1173480,1.5323162984561667,32.87425836191079,1085384,1.4172815840777413,32.882899926668344,1075800,1.4047669102832123
16,1,1.2,64,29.49192409728823,592320,0.7734444472011084,29.489286583922095,543288,0.7094190417865271,29.502995134212963,538720,0.7034542014387174
