,Block Size,Self-Loop Priority,Entropy,Overhead Stimation
0,4,1,3.0386797950028193,168421.86631782627
1,4,2,3.0217922198416947,167485.85557694576
2,4,3,3.029135975663489,167892.89058712454
3,4,4,3.0444287094015587,168740.5056472908
4,4,5,3.0498434449721787,169040.62278102798
5,8,1,4.4357198083139355,62060.15583812027
6,8,2,4.428877228863644,61964.42130903125
7,8,3,4.418887492546033,61824.654908211545
8,8,4,4.426422798757214,61930.08137741218
9,8,5,4.42360302809698,61890.62996610485
10,16,1,5.674525871731962,19747.35003362723
11,16,2,5.665502842026246,19715.949890251337
12,16,3,5.667480252793956,19722.831279722966
13,16,4,5.658082224904415,19690.126142667366
14,16,5,5.6892417702163565,19798.56136035292
