B,Q,C,Cost,R,D,H,Active,Iters
4,12,1,149831.09,4.6436,9.8934,0.0000,1,1
4,12,2,139884.24,4.3309,9.7492,0.9333,2,41
4,12,4,132248.97,4.0909,9.6326,1.8742,4,41
4,12,6,127879.06,3.9527,9.6606,2.2153,5,41
4,12,8,122563.10,3.7855,9.5996,2.7879,8,41
4,12,10,118870.48,3.6691,9.5770,3.0953,10,41
4,12,12,119198.11,3.6800,9.5117,3.1397,10,41
4,24,1,348322.43,2.7127,16.6023,0.0000,1,1
4,24,2,320643.92,2.4945,16.4913,0.8604,2,41
4,24,4,306293.62,2.3818,16.2532,1.4902,3,41
4,24,6,290058.72,2.2545,15.8644,2.4306,6,41
4,24,8,280822.96,2.1818,15.7926,2.5845,7,41
4,24,10,272524.05,2.1164,15.7762,3.0591,10,41
4,24,12,265615.83,2.0618,15.7899,3.3204,12,41
4,36,1,582484.51,2.0218,21.9044,0.0000,1,1
4,36,2,535728.92,1.8582,21.5422,0.8069,2,39
4,36,4,501508.29,1.7382,21.5196,1.2892,3,41
4,36,6,460010.69,1.5927,21.4265,2.3037,6,41
4,36,8,449550.63,1.5564,21.0918,2.5023,7,31
4,36,10,437059.60,1.5127,20.9120,2.7606,9,41
4,36,12,430860.05,1.4909,20.9893,2.9139,10,41
4,44,1,773426.25,1.8000,24.6191,0.0000,1,1
4,44,2,712834.80,1.6582,23.9345,0.8745,2,25
4,44,4,630650.29,1.4655,23.5778,1.6861,4,41
4,44,6,613566.16,1.4255,23.4057,2.2055,6,17
4,44,8,584135.26,1.3564,23.3922,2.5845,8,41
4,44,10,576404.53,1.3382,23.4405,2.8602,9,31
4,44,12,571650.52,1.3273,23.0491,3.1217,12,41
4,48,1,869997.30,1.7018,26.8353,0.0000,1,1
4,48,2,808966.51,1.5818,26.0891,0.9486,2,26
4,48,4,718586.79,1.4036,25.8603,1.7910,4,41
4,48,6,692605.85,1.3527,25.2198,2.2909,6,41
4,48,8,661308.77,1.2909,25.3555,2.6077,8,41
4,48,10,653911.11,1.2764,25.2651,2.7591,9,41
4,48,12,639003.44,1.2473,24.6758,3.1922,12,41
4,64,1,1240809.89,1.3673,31.7567,0.0000,1,1
4,64,2,1158597.40,1.2764,30.6931,0.8402,2,22
4,64,4,1092886.73,1.2036,30.0579,1.7492,4,29
4,64,6,1046870.71,1.1527,29.5458,2.2138,6,41
4,64,8,1033756.47,1.1382,29.5202,2.5941,8,41
